,MÊS/ANO,Declarações_Com uso de exchanges no exterior,Declarações_Com uso de exchanges no exterior_2,Declarações_Com uso de exchanges no exterior_3,Declarações_Sem o uso de exchanges,Declarações_Sem o uso de exchanges_2,Declarações_Sem o uso de exchanges_3,Declarações_Exchanges,Total Geral,data
16,Novembro de 2020,87.32892416999994,702.0632303900003,789.3921545600002,33.036104619999996,1472.7493093699993,1505.7854139899994,7263.804254540023,9558.981823090024,2020-11-01
17,Dezembro de 2020,61.99846579,828.9227754000008,890.9212411900007,107.75412534999992,1908.5058325000005,2016.2599578500003,7877.628067710026,10784.809266750028,2020-12-01
18,Janeiro de 2021,287.48118817999995,944.6569447500001,1232.13813293,74.57965097,1513.9379070400003,1588.5175580100004,12552.476828010083,15373.132518950084,2021-01-01
19,Fevereiro de 2021,307.6969489700001,1216.8777285300007,1524.5746775000007,89.60483390000002,1459.4934873799991,1549.0983212799993,13645.585095250104,16719.258094030105,2021-02-01
20,Março de 2021,208.30210396000007,1223.2351736299993,1431.5372775899993,66.66728504999999,2086.6280405200005,2153.2953255700004,14739.407499010133,18324.240102170133,2021-03-01
21,Abril de 2021,258.40625199,1857.7878736700004,2116.1941256600003,89.24811349000001,2368.392267000001,2457.640380490001,18269.6909111,22843.52541725,2021-04-01
22,Maio de 2021,417.03083584999996,2163.5709188199994,2580.6017546699995,117.15166849000005,2959.669284119997,3076.820952609997,20059.00703518008,25716.429742460074,2021-05-01
23,Junho de 2021,211.71645427999994,1883.68610205,2095.40255633,48.01582585000001,2755.451381649999,2803.467207499999,10849.51723324004,15748.38699707004,2021-06-01
24,Julho de 2021,210.33295888,1299.9838565499997,1510.3168154299997,110.22710031999999,2603.8095683299994,2714.0366686499992,9026.834647080042,13251.188131160041,2021-07-01
25,Agosto de 2021,314.55151577,1372.4765805900013,1687.0280963600012,176.44977893,3260.0542591499984,3436.5040380799983,11417.489507090093,16541.021641530093,2021-08-01
26,Setembro de 2021,564.0306814999999,1190.3539997799996,1754.3846812799995,221.4364929799999,2554.7962427499997,2776.2327357299996,8378.602149590093,12909.219566600092,2021-09-01
27,Outubro de 2021,411.20647174,1425.27117007,1836.47764181,258.46063877,2677.3235616900006,2935.7842004600006,10231.232826970101,15003.494669240103,2021-10-01
28,Novembro de 2021,388.1420781599999,1638.7990491499995,2026.9411273099995,209.71433499999992,4324.575804240005,4534.2901392400045,12577.059836240052,19138.291102790055,2021-11-01
29,Dezembro de 2021,336.04141969,1297.74411655,1633.78553624,214.9269157099997,2956.1552753299993,3171.082191039999,10278.594853070144,15083.462580350144,2021-12-01
30,Janeiro de 2022,197.36246845999995,1488.53316237,1685.8956308299998,162.34600001999996,2853.957650869998,3016.3036508899977,9402.09896494028,14104.298246660277,2022-01-01
31,Fevereiro de 2022,148.98168604,1010.7102338199998,1159.6919198599999,69.62290696000002,2328.6350485999988,2398.2579555599987,9413.47480812022,12971.42468354022,2022-02-01
32,Março de 2022,137.87652184999996,773.3486184399999,911.2251402899999,97.47468860000005,2318.5889741899996,2416.06366279,8786.279320640278,12113.568123720277,2022-03-01
33,Abril de 2022,135.47295156999996,807.57614564,943.04909721,99.87120115000003,2039.784158059998,2139.655359209998,9521.193025070206,12603.897481490205,2022-04-01
34,Maio de 2022,459.2808181300001,1537.5688110100004,1996.8496291400006,70.39219871000003,3231.635102169998,3302.027300879998,12715.619563509896,18014.496493529892,2022-05-01
35,Junho de 2022,514.2044460299999,1203.3411729499994,1717.5456189799993,98.40352640999998,3038.2831895299983,3136.686715939998,9380.578814880217,14234.811149800214,2022-06-01
36,Julho de 2022,136.68490817000003,1065.79700042,1202.4819085899999,62.317831249999976,3050.8515138100056,3113.1693450600055,9403.77148769033,13719.422741340335,2022-07-01
37,Agosto de 2022,130.67039864000006,998.30314813,1128.97354677,48.50479963999996,2195.1152635599756,2243.6200631999754,10578.310834899985,13950.90444486996,2022-08-01
38,Setembro de 2022,126.49549498000005,713.64730934,840.1428043200001,44.038427810000044,1619.801759589972,1663.8401873999721,9866.71798382949,12370.700975549462,2022-09-01
39,Outubro de 2022,220.44238791999993,675.5698800499999,896.0122679699998,42.44296328000003,1730.9970341499468,1773.4399974299467,11134.460918199564,13803.91318359951,2022-10-01
40,Novembro de 2022,278.83483173,782.1143997299997,1060.9492314599997,93.38522760000005,2155.430094509943,2248.8153221099433,11337.852571209778,14647.617124779721,2022-11-01
41,Dezembro de 2022,243.7059238600001,852.7612336200002,1096.4671574800004,43.12115730999998,1510.7370819899056,1553.8582392999056,11500.290299419894,14150.6156961998,2022-12-01
42,Janeiro de 2023,39.09941119,1099.3505448999997,1138.4499560899997,42.34763190000001,1664.541555819852,1706.889187719852,13571.708480169551,16417.0476239794,2023-01-01
43,Fevereiro de 2023,40.46804867,592.0834280900001,632.5514767600001,171.29074264999997,1243.9060095699538,1415.1967522199539,13204.141131179738,15251.889360159692,2023-02-01
44,Março de 2023,57.64368780999999,1239.6342190199998,1297.27790683,54.68298172999999,2821.083761690146,2875.7667434201458,16124.916402679226,20297.96105292937,2023-03-01
45,Abril de 2023,50.86191434999998,4691.127015439998,4741.988929789998,64.24956879000004,2435.350471710736,2499.600040500736,14940.479587879532,22182.068558170267,2023-04-01
46,Maio de 2023,49.67645492000001,1767.977170209999,1817.653625129999,18.06840737,2867.5567466032044,2885.6251539732043,13098.50162880962,17801.780407912822,2023-05-01
47,Junho de 2023,56.68283968,2339.91806287,2396.6009025500002,85.43831916000005,3236.9782545717057,3322.4165737317057,12929.427411929648,18648.444888211354,2023-06-01
48,Julho de 2023,0.04152042,0.48052856,0.52204898,0,0.48052856,0.48052856,0,1.0025775399999999,2023-07-01
